experiment_id,experiment_name,run_id,run_number,query_name,execution_time_ms,status,query_id,input_rows,input_bytes,cpu_time_ms,peak_memory_bytes
1,tpch-all-queries,1,1,q01,5.630298852920532,completed,20251218_230347_00043_ukszx,,,,
1,tpch-all-queries,1,1,q02,2.301508903503418,completed,20251218_230347_00045_ukszx,,,,
1,tpch-all-queries,1,1,q03,4.659672021865845,completed,20251218_230347_00044_ukszx,,,,
1,tpch-all-queries,1,1,q04,3.7092490196228027,completed,20251218_230347_00046_ukszx,,,,
1,tpch-all-queries,1,1,q05,3.5187041759490967,completed,20251218_230349_00047_ukszx,,,,
1,tpch-all-queries,1,1,q06,1.832448959350586,completed,20251218_230351_00048_ukszx,,,,
1,tpch-all-queries,1,1,q07,3.38179612159729,completed,20251218_230352_00049_ukszx,,,,
1,tpch-all-queries,1,1,q08,3.1132009029388428,completed,20251218_230353_00050_ukszx,,,,
1,tpch-all-queries,1,1,q09,3.186276912689209,completed,20251218_230353_00051_ukszx,,,,
1,tpch-all-queries,1,1,q10,2.9591779708862305,completed,20251218_230353_00052_ukszx,,,,
1,tpch-all-queries,1,1,q11,1.0553419589996338,completed,20251218_230355_00053_ukszx,,,,
1,tpch-all-queries,1,1,q12,1.089186191558838,completed,20251218_230356_00054_ukszx,,,,
1,tpch-all-queries,1,1,q13,1.1991419792175293,completed,20251218_230356_00055_ukszx,,,,
1,tpch-all-queries,1,1,q14,0.8889501094818115,completed,20251218_230356_00056_ukszx,,,,
1,tpch-all-queries,1,1,q15,0.83213210105896,completed,20251218_230356_00057_ukszx,,,,
1,tpch-all-queries,1,1,q16,1.7196409702301025,completed,20251218_230357_00058_ukszx,,,,
1,tpch-all-queries,1,1,q17,1.0942058563232422,completed,20251218_230357_00059_ukszx,,,,
1,tpch-all-queries,1,1,q18,1.4549341201782227,completed,20251218_230357_00060_ukszx,,,,
1,tpch-all-queries,1,1,q19,1.1613290309906006,completed,20251218_230357_00061_ukszx,,,,
1,tpch-all-queries,1,1,q20,1.7452349662780762,completed,20251218_230358_00062_ukszx,,,,
1,tpch-all-queries,1,1,q21,2.399325132369995,completed,20251218_230358_00063_ukszx,,,,
1,tpch-all-queries,1,1,q22,0.9252631664276123,completed,20251218_230358_00064_ukszx,,,,
