experiment_id,experiment_name,run_id,run_number,query_name,execution_time_ms,status,query_id,input_rows,input_bytes,cpu_time_ms,peak_memory_bytes,planning_time_ms,analysis_time_ms,spilled_bytes,total_splits,completed_splits,total_tasks,query_plan_hash
1,tpch-gcp,151,7,q01,1.475761890411377,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q02,1.477813959121704,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q03,1.4787750244140625,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q04,1.5062508583068848,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q05,1.460155725479126,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q06,1.4593970775604248,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q07,1.460986852645874,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q08,1.5021679401397705,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q09,0.4959278106689453,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q10,0.48570704460144043,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q11,0.4931938648223877,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q12,0.513293981552124,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q13,0.5087292194366455,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q14,0.5044629573822021,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q15,0.5075380802154541,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q16,0.5071868896484375,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q17,0.4926028251647949,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q18,0.48381590843200684,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q19,0.48878002166748047,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q20,0.5265638828277588,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q21,0.48647284507751465,failed,,,,,,,,,,,,
1,tpch-gcp,151,7,q22,0.4913809299468994,failed,,,,,,,,,,,,
1,tpch-gcp,150,6,q01,1.234349250793457,completed,20260210_183859_00101_3b489,60175,1871161,97,3619953,,,,,,,
1,tpch-gcp,150,6,q02,4.021235942840576,completed,20260210_183859_00100_3b489,18362,971930,130,1651282,,,,,,,
1,tpch-gcp,150,6,q03,1.904160976409912,completed,20260210_183859_00104_3b489,79146,2574149,89,561840,,,,,,,
1,tpch-gcp,150,6,q04,1.447420358657837,completed,20260210_183859_00102_3b489,75175,2406411,74,2594015,,,,,,,
1,tpch-gcp,150,6,q05,3.1171791553497314,completed,20260210_183859_00105_3b489,77983,2580148,104,866283,,,,,,,
1,tpch-gcp,150,6,q06,1.0446131229400635,completed,20260210_183859_00103_3b489,60175,1871161,46,488,,,,,,,
1,tpch-gcp,150,6,q07,3.9864137172698975,completed,20260210_183859_00106_3b489,78796,2588867,118,815500,,,,,,,
1,tpch-gcp,150,6,q08,5.2192089557647705,completed,20260210_183859_00107_3b489,79644,2639759,108,1495125,,,,,,,
1,tpch-gcp,150,6,q09,3.411691665649414,completed,20260210_183900_00108_3b489,168600,6221512,197,7472910,,,,,,,
1,tpch-gcp,150,6,q10,2.930866241455078,completed,20260210_183900_00109_3b489,79879,2609943,98,138780,,,,,,,
1,tpch-gcp,150,6,q11,2.6695001125335693,completed,20260210_183900_00110_3b489,16268,896340,83,683700,,,,,,,
1,tpch-gcp,150,6,q12,2.0579347610473633,completed,20260210_183901_00111_3b489,75789,2416369,64,106712,,,,,,,
1,tpch-gcp,150,6,q13,2.012592315673828,completed,20260210_183902_00112_3b489,31334,900722,72,1237289,,,,,,,
1,tpch-gcp,150,6,q14,1.4754629135131836,completed,20260210_183903_00113_3b489,63619,1976175,31,124156,,,,,,,
1,tpch-gcp,150,6,q15,2.3726789951324463,completed,20260210_183903_00114_3b489,120551,3754903,64,183989,,,,,,,
1,tpch-gcp,150,6,q16,2.506294012069702,completed,20260210_183903_00115_3b489,10399,530328,75,156437,,,,,,,
1,tpch-gcp,150,6,q17,1.6133599281311035,completed,20260210_183903_00116_3b489,62175,1941371,46,2664522,,,,,,,
1,tpch-gcp,150,6,q18,1.8108530044555664,completed,20260210_183903_00117_3b489,138354,4451541,93,2551183,,,,,,,
1,tpch-gcp,150,6,q19,1.8050799369812012,completed,20260210_183903_00118_3b489,64175,1987664,53,294243,,,,,,,
1,tpch-gcp,150,6,q20,2.2023122310638428,completed,20260210_183904_00119_3b489,70318,2389631,104,5402240,,,,,,,
1,tpch-gcp,150,6,q21,2.3301010131835938,completed,20260210_183904_00120_3b489,210625,6374671,221,1827573,,,,,,,
1,tpch-gcp,150,6,q22,1.6676459312438965,completed,20260210_183904_00121_3b489,19001,800330,49,1285628,,,,,,,
1,tpch-gcp,149,5,q01,3.6357710361480713,completed,20260210_183743_00077_3b489,60175,1871161,396,4212,,,0,28,28,6,eacdcdfb535e69361b347ee3e63fda6f641dc7f51e6444f7062ea992e739e3ab
